Objeto,Tipo,Propiedad,Modificacion,Check,Chutado,Otro
Fn_MaviComisionesChoferesCalculoIncidencias,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviComisionesXCobranzaSegVidaChubb,Table Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MAVIConcatenarAlmacenDest,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MAVIConcatenarArticuloSegVida,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MAVIConcatenarDestinosEmb,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MAVIConcatenarDestinosFactEmb,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MAVIConcatenarMovIDGastoEmb,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MaviConceptosValidosCB,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviCreaPeriodo,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MaviCtaCajaCB,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviCtaCvInst,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MaviCtaDevolucionCompra,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MaviCtaDifDepositosCB,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MaviCtaProv,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviCuantosCobrosEndoso,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviCuantosEndosoXMov,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviCuantosVehiculo,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviCuentaLetra,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviDiadescansoPrevio,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MAVIDiasDescansoJornada,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MaviDm0023SaldoChequeDevuelto,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0028CuotaCobCampo,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MAVIDM0028PremCuotaCobCampo,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0100DEPARTAMENTOUSR,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0100DIGITALIZACIONDOCUMENTOS,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0100PARTIRPERFIL,Inline Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviDM0114VisualCalif,Table Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0124ConceptoNC,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviDM0124Extrae,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MaviDM0125CtaRecTraspxOrd,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviDM0129CalcDiasInactivos,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviDM0129LeeDiasInactivos,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0135InformacionArticulo,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MAVIDM0138CamposInstitucionalesCerrar,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MAVIDM0138DatosNominalesCerrar,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviDM0144ValidaCampos,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0165BLOQUEARUSUARIOS,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169ArtFlexi,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169CampoExtra,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169CampoExtraActivo,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169CheckCobro,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169cobroSegurosvida,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169CXPProveedor,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169GarantiaDetalle,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169sugerirImporte,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169UsrAutoricacobroSegurosvida,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0169ValidaAlmArt,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0169ValidaCampoExtra,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169validaMovDinero,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169VALIDAQUINCENA,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MaviDM0169ValidaUsuario,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0169VerPropSerie,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviDM0173CalcPorcMonedero,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
Fn_MaviDM0173CalcPorcMonederoReporte,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
fn_MAVIdm0174ValidaEstatusArt,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
FN_MAVIDM0216PermisosUsr,Table Function,SoloDeMavi,SoloDeMavi,0,0,
